Date, Reading
2020-10-30 22:15:01.457176,471
2020-10-30 22:15:01.458770,470
2020-10-30 22:15:01.460264,469
2020-10-30 22:15:01.461891,466
2020-10-30 22:15:01.463031,465
2020-10-30 22:15:01.464600,464
2020-10-30 22:15:01.466177,464
2020-10-30 22:15:01.470429,462
2020-10-30 22:15:01.471299,461
2020-10-30 22:15:01.473304,459
2020-10-30 22:15:01.474055,456
2020-10-30 22:15:01.474966,454
2020-10-30 22:15:01.476099,451
2020-10-30 22:15:01.477095,448
2020-10-30 22:15:01.478096,446
2020-10-30 22:15:01.480579,446
2020-10-30 22:15:01.482056,444
2020-10-30 22:15:01.483341,441
2020-10-30 22:15:01.484713,440
2020-10-30 22:15:01.485642,437
2020-10-30 22:15:01.487079,434
2020-10-30 22:15:01.489874,433
2020-10-30 22:15:01.491013,433
2020-10-30 22:15:01.492429,429
2020-10-30 22:15:01.493734,428
2020-10-30 22:15:01.495344,428
2020-10-30 22:15:01.496420,427
2020-10-30 22:15:01.497646,426
2020-10-30 22:15:01.500004,424
2020-10-30 22:15:01.500687,423
2020-10-30 22:15:01.501425,421
2020-10-30 22:15:01.503024,416
2020-10-30 22:15:01.504287,415
2020-10-30 22:15:01.505952,414
2020-10-30 22:15:01.507587,413
2020-10-30 22:15:01.509736,413
2020-10-30 22:15:01.511836,413
2020-10-30 22:15:01.512812,413
2020-10-30 22:15:01.513916,413
2020-10-30 22:15:01.514802,412
2020-10-30 22:15:01.517973,412
2020-10-30 22:15:01.518920,411
2020-10-30 22:15:01.520113,411
2020-10-30 22:15:01.524342,412
2020-10-30 22:15:01.525362,411
2020-10-30 22:15:01.526621,411
2020-10-30 22:15:01.527590,410
2020-10-30 22:15:01.528508,410
2020-10-30 22:15:01.529524,410
2020-10-30 22:15:01.530604,408
2020-10-30 22:15:01.531363,408
2020-10-30 22:15:01.532276,408
2020-10-30 22:15:01.534008,406
2020-10-30 22:15:01.535518,406
2020-10-30 22:15:01.538734,406
2020-10-30 22:15:01.540123,406
2020-10-30 22:15:01.543332,406
2020-10-30 22:15:01.544187,406
2020-10-30 22:15:01.545618,404
2020-10-30 22:15:01.546426,402
2020-10-30 22:15:01.547160,402
2020-10-30 22:15:01.547944,402
2020-10-30 22:15:01.549948,401
2020-10-30 22:15:01.550847,400
2020-10-30 22:15:01.552101,400
2020-10-30 22:15:01.554460,399
2020-10-30 22:15:01.555536,399
2020-10-30 22:15:01.556554,397
2020-10-30 22:15:01.557748,394
2020-10-30 22:15:01.560648,393
2020-10-30 22:15:01.561565,393
2020-10-30 22:15:01.562636,392
2020-10-30 22:15:01.563581,392
2020-10-30 22:15:01.565068,392
2020-10-30 22:15:01.567874,390
2020-10-30 22:15:01.569015,390
2020-10-30 22:15:01.570050,387
2020-10-30 22:15:01.572341,386
2020-10-30 22:15:01.574093,384
2020-10-30 22:15:01.575517,382
2020-10-30 22:15:01.576467,380
2020-10-30 22:15:01.577454,379
2020-10-30 22:15:01.578262,377
2020-10-30 22:15:01.581047,376
2020-10-30 22:15:01.581783,375
2020-10-30 22:15:01.582447,374
2020-10-30 22:15:01.584533,373
2020-10-30 22:15:01.586994,369
2020-10-30 22:15:01.587814,368
2020-10-30 22:15:01.588868,367
2020-10-30 22:15:01.590062,366
2020-10-30 22:15:01.591637,364
2020-10-30 22:15:01.596329,363
2020-10-30 22:15:01.597533,362
2020-10-30 22:15:01.599027,360
2020-10-30 22:15:01.600395,358
2020-10-30 22:15:01.601517,360
2020-10-30 22:15:01.602568,360
2020-10-30 22:15:01.603930,358
2020-10-30 22:15:01.605582,357
2020-10-30 22:15:01.606619,357
2020-10-30 22:15:01.608376,360
2020-10-30 22:15:01.610331,360
2020-10-30 22:15:01.611511,361
2020-10-30 22:15:01.612654,361
2020-10-30 22:15:01.613780,363
2020-10-30 22:15:01.615360,363
2020-10-30 22:15:01.616534,363
2020-10-30 22:15:01.617778,362
2020-10-30 22:15:01.618582,362
2020-10-30 22:15:01.619618,360
2020-10-30 22:15:01.621407,357
2020-10-30 22:15:01.624402,356
2020-10-30 22:15:01.625819,357
2020-10-30 22:15:01.627639,356
2020-10-30 22:15:01.629005,355
2020-10-30 22:15:01.630381,354
2020-10-30 22:15:01.631478,354
2020-10-30 22:15:01.632837,352
2020-10-30 22:15:01.634292,351
2020-10-30 22:15:01.635492,353
2020-10-30 22:15:01.636638,353
2020-10-30 22:15:01.638295,354
2020-10-30 22:15:01.640744,354
2020-10-30 22:15:01.641839,354
2020-10-30 22:15:01.646133,351
2020-10-30 22:15:01.647241,351
2020-10-30 22:15:01.649396,352
2020-10-30 22:15:01.650468,352
2020-10-30 22:15:01.651241,352
2020-10-30 22:15:01.652212,353
2020-10-30 22:15:01.653483,352
2020-10-30 22:15:01.654967,351
2020-10-30 22:15:01.655584,349
2020-10-30 22:15:01.656597,349
2020-10-30 22:15:01.657644,349
2020-10-30 22:15:01.658813,348
2020-10-30 22:15:01.660068,346
2020-10-30 22:15:01.662383,344
2020-10-30 22:15:01.664399,344
2020-10-30 22:15:01.666363,342
2020-10-30 22:15:01.667316,341
2020-10-30 22:15:01.668395,340
2020-10-30 22:15:01.669650,340
2020-10-30 22:15:01.671574,339
2020-10-30 22:15:01.672818,337
2020-10-30 22:15:01.674296,336
2020-10-30 22:15:01.675041,334
2020-10-30 22:15:01.676991,334
2020-10-30 22:15:01.678581,334
2020-10-30 22:15:01.679947,336
2020-10-30 22:15:01.681346,334
2020-10-30 22:15:01.682217,332
2020-10-30 22:15:01.684193,330
2020-10-30 22:15:01.685188,329
2020-10-30 22:15:01.686326,327
2020-10-30 22:15:01.688973,326
2020-10-30 22:15:01.690074,326
2020-10-30 22:15:01.691362,325
2020-10-30 22:15:01.692216,321
2020-10-30 22:15:01.693736,320
2020-10-30 22:15:01.694697,318
2020-10-30 22:15:01.695801,316
2020-10-30 22:15:01.698200,315
2020-10-30 22:15:01.700547,313
2020-10-30 22:15:01.701242,310
2020-10-30 22:15:01.702269,309
2020-10-30 22:15:01.704701,309
2020-10-30 22:15:01.705536,309
2020-10-30 22:15:01.706576,308
2020-10-30 22:15:01.709134,308
2020-10-30 22:15:01.710280,307
2020-10-30 22:15:01.711478,307
2020-10-30 22:15:01.712755,306
2020-10-30 22:15:01.714690,302
2020-10-30 22:15:01.715431,302
2020-10-30 22:15:01.717340,298
2020-10-30 22:15:01.719787,297
2020-10-30 22:15:01.720711,296
2020-10-30 22:15:01.722805,293
2020-10-30 22:15:01.723979,291
2020-10-30 22:15:01.724742,289
2020-10-30 22:15:01.725605,288
2020-10-30 22:15:01.727275,288
2020-10-30 22:15:01.728705,288
2020-10-30 22:15:01.734159,288
2020-10-30 22:15:01.736135,286
2020-10-30 22:15:01.737956,288
2020-10-30 22:15:01.738701,288
2020-10-30 22:15:01.739223,288
2020-10-30 22:15:01.740062,288
2020-10-30 22:15:01.740820,288
2020-10-30 22:15:01.742156,286
2020-10-30 22:15:01.743085,284
2020-10-30 22:15:01.743891,284
2020-10-30 22:15:01.745279,283
2020-10-30 22:15:01.749242,282
2020-10-30 22:15:01.750191,281
2020-10-30 22:15:01.751025,280
2020-10-30 22:15:01.752388,278
2020-10-30 22:15:01.753149,277
2020-10-30 22:15:01.754046,276
2020-10-30 22:15:01.756522,277
2020-10-30 22:15:01.757823,277
2020-10-30 22:15:01.758906,276
2020-10-30 22:15:01.760995,274
2020-10-30 22:15:01.762136,274
2020-10-30 22:15:01.763305,272
2020-10-30 22:15:01.764249,270
2020-10-30 22:15:01.766876,268
2020-10-30 22:15:01.767890,268
2020-10-30 22:15:01.769994,268
2020-10-30 22:15:01.772886,268
2020-10-30 22:15:01.773565,267
2020-10-30 22:15:01.774290,266
2020-10-30 22:15:01.777189,265
2020-10-30 22:15:01.778048,264
2020-10-30 22:15:01.780256,261
2020-10-30 22:15:01.781335,261
2020-10-30 22:15:01.782761,259
2020-10-30 22:15:01.784353,258
2020-10-30 22:15:01.786303,258
2020-10-30 22:15:01.787266,256
2020-10-30 22:15:01.788036,255
2020-10-30 22:15:01.789345,255
2020-10-30 22:15:01.790183,254
2020-10-30 22:15:01.791488,253
2020-10-30 22:15:01.793603,252
2020-10-30 22:15:01.794616,253
2020-10-30 22:15:01.796472,253
2020-10-30 22:15:01.797308,252
2020-10-30 22:15:01.799488,248
2020-10-30 22:15:01.800644,248
2020-10-30 22:15:01.802432,247
2020-10-30 22:15:01.805203,246
2020-10-30 22:15:01.806142,245
2020-10-30 22:15:01.807209,244
2020-10-30 22:15:01.808173,243
2020-10-30 22:15:01.808958,242
2020-10-30 22:15:01.811485,240
2020-10-30 22:15:01.812419,241
2020-10-30 22:15:01.814033,238
2020-10-30 22:15:01.815296,237
2020-10-30 22:15:01.817202,236
2020-10-30 22:15:01.818430,235
2020-10-30 22:15:01.820301,234
2020-10-30 22:15:01.821088,235
2020-10-30 22:15:01.822826,234
2020-10-30 22:15:01.823735,234
2020-10-30 22:15:01.824887,234
2020-10-30 22:15:01.825902,234
2020-10-30 22:15:01.827339,235
2020-10-30 22:15:01.829061,236
2020-10-30 22:15:01.831252,236
2020-10-30 22:15:01.833109,236
2020-10-30 22:15:01.833876,235
2020-10-30 22:15:01.834687,235
2020-10-30 22:15:01.836364,234
2020-10-30 22:15:01.837697,234
2020-10-30 22:15:01.839382,233
2020-10-30 22:15:01.841825,232
2020-10-30 22:15:01.843162,230
2020-10-30 22:15:01.843821,231
2020-10-30 22:15:01.846611,232
2020-10-30 22:15:01.847306,232
2020-10-30 22:15:01.853040,234
2020-10-30 22:15:01.853953,234
2020-10-30 22:15:01.855308,234
2020-10-30 22:15:01.856103,232
2020-10-30 22:15:01.856888,232
2020-10-30 22:15:01.858560,230
2020-10-30 22:15:01.860157,231
2020-10-30 22:15:01.861816,230
2020-10-30 22:15:01.863040,231
2020-10-30 22:15:01.864011,229
2020-10-30 22:15:01.864541,228
2020-10-30 22:15:01.865507,228
2020-10-30 22:15:01.866251,226
2020-10-30 22:15:01.867296,226
2020-10-30 22:15:01.873871,225
2020-10-30 22:15:01.874447,226
2020-10-30 22:15:01.876406,228
2020-10-30 22:15:01.877528,226
2020-10-30 22:15:01.878865,226
2020-10-30 22:15:01.880349,225
2020-10-30 22:15:01.881671,225
2020-10-30 22:15:01.883201,225
2020-10-30 22:15:01.884280,224
2020-10-30 22:15:01.885872,224
2020-10-30 22:15:01.887158,224
2020-10-30 22:15:01.888556,224
2020-10-30 22:15:01.889534,224
2020-10-30 22:15:01.890913,225
2020-10-30 22:15:01.892041,224
2020-10-30 22:15:01.892983,224
2020-10-30 22:15:01.894307,224
2020-10-30 22:15:01.895756,223
2020-10-30 22:15:01.897698,223
2020-10-30 22:15:01.899266,223
2020-10-30 22:15:01.900516,221
2020-10-30 22:15:01.901575,221
